Date,Open,High,Low,Close,Volume,Adj Close
2006-10-02,75.100003,75.870001,74.299998,74.859998,178159800,9.79089
2006-10-03,74.450002,74.95,73.19,74.08,197677200,9.688874
2006-10-04,74.1,75.459998,73.159999,75.380003,207270700,9.858901
2006-10-05,74.529997,76.160001,74.130001,74.829997,170970800,9.786966
2006-10-06,74.420001,75.040002,73.81,74.220003,116739700,9.707185
2006-10-09,73.8,75.080003,73.530001,74.629999,109555600,9.760808
2006-10-10,74.539997,74.579998,73.079997,73.81,132897100,9.653561
2006-10-11,73.419998,73.979998,72.599999,73.23,142963800,9.577703
2006-10-12,73.610003,75.390003,73.600002,75.26,148213800,9.843206
2006-10-13,75.630002,76.879997,74.740002,75.020001,171049200,9.811816
2006-10-16,75.189999,75.880001,74.790003,75.399997,127173200,9.861516
2006-10-17,75.040002,75.27,74.039999,74.289998,120231300,9.71634
2006-10-18,74.750002,75.370003,73.910003,74.529997,283476900,9.747729
2006-10-19,79.259998,79.950001,78.16,78.989999,378244300,10.33105
2006-10-20,78.969998,79.990002,78.669998,79.950001,159853400,10.456608
2006-10-23,79.990002,81.899999,79.750003,81.460002,208126800,10.6541
2006-10-24,81.210003,81.68,80.2,81.049999,115803100,10.600476
2006-10-25,81.349999,82.000001,81.009998,81.68,121303700,10.682873
2006-10-26,81.899999,82.600001,81.130001,82.189999,108189200,10.749576
2006-10-27,81.750002,82.449998,80.010002,80.409998,148741600,10.516771
2006-10-30,79.990002,80.900002,79.499997,80.419998,124979400,10.518078
2006-10-31,81.450002,81.68,80.23,81.08,125368600,10.6044
2006-11-01,81.1,81.38,78.359998,79.160003,152798100,10.353284
2006-11-02,78.919997,79.32,78.500001,78.979999,116370800,10.329742
2006-11-03,79.360001,79.529998,77.789998,78.290003,107972200,10.239498
2006-11-06,78.949998,80.060003,78.429999,79.710002,108644200,10.425219
2006-11-07,80.449999,80.999998,80.129998,80.51,131483100,10.52985
2006-11-08,80.020002,82.689997,79.889999,82.449998,172729200,10.783581
2006-11-09,82.900002,84.690002,82.119997,83.339998,230763400,10.899983
2006-11-10,83.550003,83.599998,82.499999,83.12,93466100,10.87121
2006-11-13,83.220002,84.449997,82.640002,84.350001,112668500,11.032081
2006-11-14,84.799998,85.000003,83.899998,85.000003,147238700,11.117094
2006-11-15,85.049997,85.899997,84.0,84.050001,163830800,10.992844
2006-11-16,84.87,86.299999,84.620001,85.609997,173485200,11.196875
2006-11-17,85.139999,85.939998,85.000003,85.850002,116606000,11.228265
2006-11-20,85.399999,87.000002,85.200001,86.470003,142698500,11.309355
2006-11-21,87.419998,88.599998,87.109998,88.599998,155666700,11.587935
2006-11-22,88.990001,90.750001,87.850001,90.309998,167985300,11.811585
2006-11-24,89.53,93.080001,89.499999,91.630001,129669400,11.984227
2006-11-27,92.510001,93.160003,89.499999,89.54,268709000,11.710877
2006-11-28,90.359999,91.970002,89.910002,91.809999,259043400,12.007769
2006-11-29,92.999999,93.150002,90.250003,91.799998,289270800,12.006461
2006-11-30,92.210001,92.679998,91.060001,91.660002,217621600,11.988151
2006-12-01,91.799998,92.329997,90.099999,91.320001,198769900,11.943683
2006-12-04,91.88,92.049997,90.500002,91.120003,177384200,11.917525
2006-12-05,91.650002,92.329997,90.869997,91.27,165709600,11.937143
2006-12-06,90.639998,91.390002,89.670003,89.83,159546100,11.748806
2006-12-07,90.029998,90.500002,86.9,87.040003,251206900,11.383904
2006-12-08,87.23,89.390003,87.000002,88.259997,196069300,11.543467
2006-12-11,88.899999,89.300001,88.049999,88.750002,124945100,11.607554
2006-12-12,88.609999,88.839997,85.530002,86.140002,256655000,11.266194
2006-12-13,87.949997,89.070003,87.149999,89.050002,214263000,11.646791
2006-12-14,89.050002,89.999997,88.259997,88.549997,208082700,11.581396
2006-12-15,89.020001,89.219999,87.330003,87.719998,184984800,11.472841
2006-12-18,87.630003,87.999998,84.59,85.47,180394200,11.178565
2006-12-19,84.729997,86.680001,83.619998,86.309999,227851400,11.288428
2006-12-20,86.470003,86.670001,84.739997,84.759997,141922900,11.085704
2006-12-21,84.700003,85.48,82.199999,82.900002,225899800,10.842436
2006-12-22,83.460001,84.040001,81.599998,82.199999,153325900,10.750884
2006-12-26,82.149998,82.570001,80.890002,81.510003,122672200,10.660639
2006-12-27,78.15,82.000001,76.770001,81.520003,483938700,10.661947
2006-12-28,80.22,81.249997,79.650001,80.870002,279969200,10.576934
2006-12-29,83.949999,85.399999,83.359999,84.839999,269107300,11.096167
2007-01-03,86.289999,86.579999,81.899999,83.800002,309579900,10.960147
2007-01-04,84.050001,85.949998,83.820003,85.659998,211815100,11.203415
2007-01-05,85.77,86.199997,84.400002,85.049997,208685400,11.123633
2007-01-08,85.959998,86.529998,85.280003,85.47,199276700,11.178565
2007-01-09,86.450003,92.979999,85.15,92.570003,837324600,12.107169
2007-01-10,94.749999,97.800002,93.450003,96.999997,738220000,12.686566
2007-01-11,95.94,96.779999,95.1,95.800003,360063200,12.529619
2007-01-12,94.590002,95.059999,93.229998,94.620003,328172600,12.375288
